billing_account_reference,Serial_Number,type
004482519,cp0510ct45j,
004482354,cp0510bt8up,
004480819,cp0510btflr,
004483581,cp0510bt058,
004481075,cp0510ct1y1,
004483624,cp0510bt7yy,
004483731,cp0510ct9rd,
004481359,cp0510ct1v0,
004483467,cp0450btggw,
005814334,zu588350325gb,
004450377,cp0419btaww,
004484651,cp0510atddp,
004484688,cp0510bt7nk,
004484731,cp0510bt7p4,
004484714,cp0510ct9rz,
004484836,cp0507at62b,
004485061,cp0510bt6ns,
004485254,cp0452btnfp,
004485294,cp0510btara,
006031980,cp0507atcdt,
004485767,cp0507atces,
004485856,cp0510btagk,
004475040,cp0450ct4gz,
004484817,cp0450ct4h8,
004458766,0065702b2240bb0,
004486482,cp0453atmqn,
004486718,cp0444bt0nj,
004486766,cp0445atrup,
004487226,cp0419at8wu,
004486555,cp0453bt31p,
004487299,cp0444bt0n5,
004487459,cp0450btbm6,
004487772,cp0507atl2k,
004477884,cp0508gtmv3,
004484116,zu588255165gb,
004488085,cp0505at2t2,
004448601,cp0452ctj3m,
004484116,cp0508btqg5,
004488272,cp0441atv82,
004474099,cp0452bt291,
004486769,cp0507atw11,
004489673,cp0447at4bu,
004489686,cp0447at4c2,
004489609,cp0441atjn9,
004489773,cp0449btznt,
004490234,cp0501bt65c,
004488393,CP0502AT2DW,
004488820,CP0440ATUSW,
004490822,CP0441AT3R7,
004491125,CP0450BTAGV,
004491401,CP0444ATR1P,
004491666,CP0451ATWC9,
004490392,CP0450BTZ42,
004491890,CP0438ATLEU,
004491975,CP0434ATJMM,
004491962,CP0424AT3CZ,
004492052,CP0448BTEZL,
004492185,CP0501BT9MD,
004492724,CP0448BTET9,
004493514,CP0444ATSJA,
004493545,CP0444ATSJB,
004493841,CP0501BT68W,
004494640,CP0501BT6LL,
004494608,CP0444BT00K,
004494740,CP0444ATSDB,
004494960,CP0444ATS8Z,
004495057,CP0444ATRFW,
004495046,CP0419BTDM1,
004495243,CP0444ATZLP,
004495330,CP0501BT6G0,
004495304,CP0501BT6DV,
004495357,CP0343BTRYM,
004495924,CP0404ATNBS,
005323931,CP0442ATL56,
004484731,CP0419ATM89,
004496730,CP0419AT578,
004496772,CP0510CT7GH,
004496915,CP0448BTYAF,
004496991,CP0419ATK6B,
004497317,CP0419ATMR2,
004497415,CP0419ATKA1,
004498059,CP0444ATLY4,
004497965,cp0419bte3r,
004498012,CP0444ATM3Y,
004498264,CP0419AT8H4,
004498342,CP0448BTY8Q,
004498348,CP0419AT8P0,
004483622,cp0501bt9u0,
004498521,CP0453ATTGD,
003713450,cp0501bt9z9,
004499790,cp0418ct58v,
004499632,cp0501bt9m8,
004499758,cp0501bt979,
004499770,cp0419btdg8,
004500090,cp0501bt9tk,
004498938,cp0448btere,
004500565,cp0448bteqv,
004056863,CP0453ATTS3,
004473447,cp0450btadr,
004501219,cp0334btjfw,
004501196,cp0451bte97,
004501225,cp0425atl27,
004501246,cp0421atsnh,
004501275,cp0425ct41y,
004501307,cp0453ct2ck,
005562430,cp0449btkpl,
098860168,CP0408ATACB,
004501572,cp0439attud,
004500409,CP0335BTC2G,
004501765,CP0444ATZBQ,
004475783,CP0501BT653,
004502698,CP0421CTP93,
004502928,CP0453ATTG7,
004503285,cp0419at918,
004503696,CP0448BTYSF,
004504088,CP0453ATTTK,
004504271,CP0419AT968,
004504179,CP0448BTYJJ,
004504667,CP0447AT477,
004494608,CP0453ATTKB,
004504964,CP0442AT1Q8,
004390259,CP0508BTRKM,
004484731,CP0447AT00B,
004504919,CP0450BTAG9,
004505682,cp0444atu84,
005016982,cp0502btfey,
004505961,cp0415ct1ny,
004466680,cp0444atqrw,
004505367,CP0445AT2SQ,
004503815,CP0453ATBVR,
004505253,cp0304jzmjk,
004507028,cp0449btnfr,
004507065,cp0441at5wh,
004507359,cp0441atgk9,
004507302,CP0449CT5K6,
004507750,cp0404at99s,
004507239,CP0442ATTG1,
004373562,cp0412atlyf,
004508013,cp0449ctfwc,
004508116,cp0434ateu0,
004499950,0075602B2DCBEE6,
004505086,CP0441ATN1Y,
004507414,cp0453at5ne,
004507469,CP0440ATWC3,
004507885,CP0452CTBW5,
004508207,cp0329at36u,
004496730,cp0334btn2b,
004484731,cp0419at485,
004508734,cp0427atja4,
004508594,cp0252pzark,
004508941,cp0417btnen,
004509334,cp0315jz0hy,
004509409,CP0444BT1NN,
004509113,cp0318pzmts,
004509581,CP0450BTCJ9,
004509271,cp0417btm3y,
004509697,cp0412atjff,
004509832,cp0335bt0ay,
004509893,cp0415ctsw0,
004510197,cp0417btbdh,
004511027,cp0302qztrq,
004511092,cp0309szath,
004511272,cp0449ctfas,
004199784,1005302B28551A2,
004497065,0035502B1BEE1CF,
003926588,cp0510ct6nr,
004511740,cp0449btfny,
003992976,CP0335BT22R,
004512633,cp0510ct8np,
004512800,cp0421bt2r1,
004509113,cp0510ct8v1,
004513135,CP0510CT8Y3,
004512935,cp0510ct904,
004513439,cp0424atn7j,
004501246,cp0334at13v,
004484731,cp0330pzhba,
004514121,cp0453btwa1,
004514231,cp0453ate12,
005695394,CP0421ATGJ7,
004514573,CP0243JZV3C,
004514509,CP0305KZG4Y,
005907684,CP0404ATCCB,
004519905,CP0450CT6DE,
004515294,cp0334bt99q,
004515173,CP0334AT7CR,
004515547,CP0444ATTPA,
004516550,CP0510CT6ZW,
004515703,CP0450CT6NS,
004516691,CP0510BTCHA,
004516783,CP0408AT2V0,
004517279,CP0510ATUBL,
006586775,CP0449BTFLP,
004517704,CP0444ATY1C,
004517876,CP0501BT7A2,
004517766,CP0419ATHH3,
004517613,CP0501BT5GZ,
004517901,CP0452BTCW5,
004517142,CP0431ATAKP,
003551112,zu588264944gb,
004518334,CP0510BT067,
004518637,CP0510BTC2V,
004518824,CP0444BT8ZD,
004518720,CP0330ATQ32,
004518535,CP0334BTJWC,
004518092,cp0330atm30,
004518117,CP0335ATTJJ,
004518196,cp0451bt39j,
004519652,CP0449BTG36,
004520246,CP0409BTWSL,
004520257,CP0449BTFSZ,
004520912,CP0449BTFQS,
004520963,CP0417ATSGE,
004521125,CP0510BTCHN,
004520587,CP0247KZF97,
004520561,CP0332SZVB9,
004521810,CP0510CT869,
004515703,CP0452BT1RS,
004521279,cp0448atpwq,
004522655,CP0452ATQCE,
004522354,cp0444aty8d,
004522968,cp0324qz4ht,
003551112,0095702B2F057BD,
004523864,cp0241qz2ky,
004523973,cp0523at7us,
004523951,cp0503bt715,
004523707,cp0522atypn,
004524066,cp0522btcd8,
004524083,cp0452bts2q,
004524169,cp0444atf5t,
004524330,cp0453btcwr,
004314963,cp0523at7jj,
004525078,cp0437bt485,
005768673,cp0431atahw,
004525006,cp0522atyj6,
004524654,cp0505at9n7,
004525458,cp0523at7uj,
004525495,cp0305kzjgz,
004525754,cp0340bt942,
004525778,cp0431atafk,
004521194,zu587907470gb,
004521194,cp0409atrls,
004526128,cp0523at7za,
004525812,cp0522bte0f,
004526459,cp0522atwwy,
004526690,cp0522atwp3,
004527068,cp0523at80j,
004527103,cp0522btc7u,
004526657,CP0523ATG1H,
004527535,CP0523AT3EE,
004527742,CP0452BTSEG,
004527849,CP0523AT2UU,
004528488,CP0523ATFHK,
004528361,CP0523ATFTA,
004524419,CP0523ATFE7,
004527310,CP0503BT717,
004528080,CP0241QZ1AA,
004526598,cp0422btjsn,
004528647,CP0503BT7ZK,
004528654,cp0240jz6zg,
004528926,CP0523AT7ME,
004528865,CP0450CT42P,
004528465,CP0522AT37V,
004529339,CP0523ATFES,
004529368,CP0523ATFDE,
004529003,CP0523AT657,
004529625,CP0522ATZ20,
075517084,CP0523ATFAF,
004530001,CP0522ATT50,
004514509,cp0523at2s5,
004166282,1005402B282139E,
004530369,cp0523atfyl,
004166282,zu587900998gb,
004530483,cp0523atcsr,
006431586,cp0522atywh,
